Substantiv;die;Hausfrau;;domaćica;/
Substantiv;der;Elektriker;;električar;/
Substantiv;der;Friseur;;frizer;/
Substantiv;der;Musiker;;glazbenik;/
Substantiv;der;Schauspieler;;glumac;/
Substantiv;der;Ingenieur;;inženjer;/
Substantiv;der;Schneider;;krojač;/
Substantiv;der;Koch;;kuhar;/
Substantiv;der;Arzt;;liječnik;/
Substantiv;der;Mechaniker;;mehaničar;/
Substantiv;der;Fleischer;;mesar;/
Substantiv;der;Lehrer;;učitelj;/
Substantiv;der;Journalist;;novinar;/
Substantiv;der;Rechtsanwalt;;odvjetnik;/
Substantiv;der;Sänger;;pjevač;/
Substantiv;der;Schuhmacher;;postolar;/
Substantiv;der;Jurist;;pravnik;/
Substantiv;der;Arbeiter;;radnik;/
Substantiv;der;Maler;;slikar;/
Substantiv;der;Tischler;;stolar;/
Substantiv;der;Uhrmacher;;urar;/
Substantiv;der;Wasserinstallateur;;vodoinstalater;/
Substantiv;der;Zahnarzt;;stomatolog;/
Substantiv;der;Gott;;Bog;/
Substantiv;die;Bibel;;Biblija;/
Substantiv;der;Bischof;;biskup;/
Substantiv;die;Beichte;;ispovijed;/
Substantiv;das;Kreuz;;križ;/
Substantiv;die;Taufe;;krštenje;/
Substantiv;die;Messe;;liturgija;/
Substantiv;das;Gebet;;molitva;/
Substantiv;der;Altar;;oltar;/
Substantiv;der;Priester;;svećenik;/
Substantiv;die;Firmung;;krizma;/
Substantiv;die;Kommunion;;pričest;/
Substantiv;der;Heilige;;svetac;/
Substantiv;die;Heilige Schrift;;Sveto pismo;/
Substantiv;der;Glaube;;vjera;/
Substantiv;der;Gläubiger;;vjernik;/
Substantiv;die;Religion;;religija;/
Substantiv;die;Bank;;banka;/
Substantiv;das;Krankenhaus;;bolnica;/
Substantiv;die;Innenstadt;;centar grada;/
Substantiv;der;Kindergarten;;dječji vrtić;/
Substantiv;der;Friedhof;;groblje;/
Substantiv;das;Hotel;;hotel;/
Substantiv;der;Stadtplan;;plan grada;/
Substantiv;die;Buchhandlung;;knjižara;/
Substantiv;die;Bibliothek;;knjižnica;/
Substantiv;die;Apotheke;;ljekarna;/
Substantiv;die;Fleischerei;;mesnica;/
Substantiv;die;Brücke;;most;/
Substantiv;der;Park;;park;/
Substantiv;die;Bäckerei;;pekara;/
Substantiv;die;Vorstadt;;predgrađe;/
Substantiv;das;Verkaufszentrum;;prodajni centar;/
Substantiv;das;Geschäft;;prodavaonica;/
Substantiv;der;Fischmarkt;;riblja tržnica;/
Substantiv;das;Kaufhaus;;robna kuća;/
Substantiv;der;Kiosk;;kiosk;/
Substantiv;der;Platz;;trg;/
Substantiv;der;Marktplatz;;tržnica;/
Substantiv;die;Fabrik;;tvornica;/
Substantiv;die;Straße;;ulica;/
Substantiv;die;Kasse;;blagajna;/
Substantiv;der;Kassierrer;;blagajnik;/
Substantiv;der;Börsenmakler;;burzovni posrednik;/
Substantiv;der;Scheck;;bankovni ček;/
Substantiv;die;Überweisung;;doznaka;/
Substantiv;das;Bargeld;;gotovina;/
Substantiv;die;Auszahlung;;isplata;/
Substantiv;die;Münze;;kovanica;/
Substantiv;der;Wechsel;;mjenica;/
Substantiv;der;Geldwechsel;;mjenjačnica;/
Substantiv;die;Währung;;valuta;/
Substantiv;das;Geld;;novac;/
Substantiv;der;Geldschein;;novčanica;/
Substantiv;die;Zahlung;;plaćanje;/
Substantiv;das;Wechselgeld;;sitniš;/
Substantiv;das;Kleingeld;;sitan novac;/
Substantiv;das;Sparbuch;;štedna knjižica;/
Substantiv;das;Sparkonto;;štedni račun;/
Substantiv;die;Kursliste;;tečajna lista;/
